ids,backscatter_diff_1,backscatter_diff_2,backscatter_diff_3,backscatter_diff_4,backscatter_diff_5,backscatter_diff_6,backscatter_diff_7,backscatter_diff_8,backscatter_diff_9,backscatter_diff_10,backscatter_diff_11,backscatter_diff_12,backscatter_diff_13,backscatter_diff_14,backscatter_diff_15,backscatter_diff_16,backscatter_diff_17,backscatter_diff_18,backscatter_diff_19,backscatter_diff_20,backscatter_diff_21,backscatter_diff_22,backscatter_diff_23,backscatter_diff_24,backscatter_diff_25,backscatter_diff_26,backscatter_diff_27,backscatter_diff_28,backscatter_diff_29,backscatter_diff_30,backscatter_diff_31,backscatter_diff_32,backscatter_diff_33,backscatter_diff_34,backscatter_diff_35,backscatter_diff_36,backscatter_diff_37,backscatter_diff_38,backscatter_diff_39,backscatter_diff_40,backscatter_diff_41,backscatter_diff_42,backscatter_diff_43,backscatter_diff_44,backscatter_diff_45,backscatter_diff_46,backscatter_diff_47,backscatter_diff_48,backscatter_diff_49,backscatter_diff_50,backscatter_diff_51,backscatter_diff_52,backscatter_diff_53,backscatter_diff_54,backscatter_diff_55,backscatter_diff_56,backscatter_diff_57,backscatter_diff_58,backscatter_diff_59,backscatter_diff_60,backscatter_diff_61,backscatter_diff_62,backscatter_diff_63,backscatter_diff_64,backscatter_diff_65,backscatter_diff_66,backscatter_diff_67,backscatter_diff_68,backscatter_diff_69,backscatter_diff_70,backscatter_diff_71,backscatter_diff_72,backscatter_diff_73,backscatter_diff_74,backscatter_diff_75,backscatter_diff_76,backscatter_diff_77,backscatter_diff_78,backscatter_diff_79,backscatter_diff_80,backscatter_diff_81,backscatter_diff_82,backscatter_diff_83,backscatter_diff_84,backscatter_diff_85,backscatter_diff_86,backscatter_diff_87,backscatter_diff_88,backscatter_diff_89,backscatter_diff_90,backscatter_diff_91,backscatter_diff_92,backscatter_diff_93,backscatter_diff_94,backscatter_diff_95,backscatter_diff_96,backscatter_diff_97,backscatter_diff_98,backscatter_diff_99,backscatter_diff_100,backscatter_diff_101,backscatter_diff_102,backscatter_diff_103,backscatter_diff_104,backscatter_diff_105,backscatter_diff_106,backscatter_diff_107,backscatter_diff_108,backscatter_diff_109,backscatter_diff_110,backscatter_diff_111,backscatter_diff_112,backscatter_diff_113,backscatter_diff_114,backscatter_diff_115,backscatter_diff_116,backscatter_diff_117,backscatter_diff_118,backscatter_diff_119,backscatter_diff_120,backscatter_diff_121,backscatter_diff_122,backscatter_diff_123,backscatter_diff_124,backscatter_diff_125,backscatter_diff_126,backscatter_diff_127,backscatter_diff_128,backscatter_diff_129,backscatter_diff_130,backscatter_diff_131,backscatter_diff_132,backscatter_diff_133,backscatter_diff_134,backscatter_diff_135,backscatter_diff_136,backscatter_diff_137,backscatter_diff_138,backscatter_diff_139,backscatter_diff_140,backscatter_diff_141,backscatter_diff_142,backscatter_diff_143,backscatter_diff_144,backscatter_diff_145,backscatter_diff_146,backscatter_diff_147,backscatter_diff_148,backscatter_diff_149,backscatter_diff_150,backscatter_diff_151,backscatter_diff_152,backscatter_diff_153,backscatter_diff_154,backscatter_diff_155,backscatter_diff_156,backscatter_diff_157,backscatter_diff_158,backscatter_diff_159,backscatter_diff_160,backscatter_diff_161,backscatter_diff_162,backscatter_diff_163,backscatter_diff_164,backscatter_diff_165,backscatter_diff_166,backscatter_diff_167,backscatter_diff_168,backscatter_diff_169,backscatter_diff_170,backscatter_diff_171,backscatter_diff_172,backscatter_diff_173,backscatter_diff_174,backscatter_diff_175,backscatter_diff_176,backscatter_diff_177,backscatter_diff_178,backscatter_diff_179,backscatter_diff_180,backscatter_diff_181,backscatter_diff_182,backscatter_diff_183,backscatter_diff_184,backscatter_diff_185,backscatter_diff_186,backscatter_diff_187,backscatter_diff_188,backscatter_diff_189,backscatter_diff_190,backscatter_diff_191,backscatter_diff_192,backscatter_diff_193,backscatter_diff_194,backscatter_diff_195,backscatter_diff_196,backscatter_diff_197,backscatter_diff_198,backscatter_diff_199,backscatter_diff_200,backscatter_diff_201,backscatter_diff_202,backscatter_diff_203,backscatter_diff_204,backscatter_diff_205,backscatter_diff_206,backscatter_diff_207,backscatter_diff_208,backscatter_diff_209,backscatter_diff_210,backscatter_diff_211,backscatter_diff_212,backscatter_diff_213,backscatter_diff_214,backscatter_diff_215,backscatter_diff_216,backscatter_diff_217,backscatter_diff_218,backscatter_diff_219,backscatter_diff_220,backscatter_diff_221,backscatter_diff_222,backscatter_diff_223,backscatter_diff_224,backscatter_diff_225,backscatter_diff_226,backscatter_diff_227,backscatter_diff_228,backscatter_diff_229,backscatter_diff_230,backscatter_diff_231,backscatter_diff_232,backscatter_diff_233,backscatter_diff_234,backscatter_diff_235,backscatter_diff_236,backscatter_diff_237,backscatter_diff_238,backscatter_diff_239,backscatter_diff_240,backscatter_diff_241,backscatter_diff_242,backscatter_diff_243,backscatter_diff_244,backscatter_diff_245,backscatter_diff_246,backscatter_diff_247,backscatter_diff_248,backscatter_diff_249,backscatter_diff_250,backscatter_diff_251,backscatter_diff_252,backscatter_diff_253,backscatter_diff_254,backscatter_diff_255,backscatter_diff_256,backscatter_diff_257,backscatter_diff_258,backscatter_diff_259,backscatter_diff_260,backscatter_diff_261,backscatter_diff_262,backscatter_diff_263,backscatter_diff_264,backscatter_diff_265,backscatter_diff_266,backscatter_diff_267,backscatter_diff_268,backscatter_diff_269,backscatter_diff_270,backscatter_diff_271,backscatter_diff_272,backscatter_diff_273,backscatter_diff_274,backscatter_diff_275,backscatter_diff_276,backscatter_diff_277,backscatter_diff_278,backscatter_diff_279,backscatter_diff_280,backscatter_diff_281,backscatter_diff_282,backscatter_diff_283,backscatter_diff_284,backscatter_diff_285,backscatter_diff_286,backscatter_diff_287,backscatter_diff_288,backscatter_diff_289,backscatter_diff_290,backscatter_diff_291,backscatter_diff_292,backscatter_diff_293,backscatter_diff_294,backscatter_diff_295,backscatter_diff_296,backscatter_diff_297,backscatter_diff_298,backscatter_diff_299,backscatter_diff_300,backscatter_diff_301,backscatter_diff_302,backscatter_diff_303,backscatter_diff_304,backscatter_diff_305,backscatter_diff_306,backscatter_diff_307,backscatter_diff_308,backscatter_diff_309,backscatter_diff_310,backscatter_diff_311,backscatter_diff_312,backscatter_diff_313,backscatter_diff_314,backscatter_diff_315,backscatter_diff_316,backscatter_diff_317,backscatter_diff_318,backscatter_diff_319,backscatter_diff_320,backscatter_diff_321,backscatter_diff_322,backscatter_diff_323,backscatter_diff_324,backscatter_diff_325,backscatter_diff_326,backscatter_diff_327,backscatter_diff_328,backscatter_diff_329,backscatter_diff_330,backscatter_diff_331,backscatter_diff_332,backscatter_diff_333,backscatter_diff_334,backscatter_diff_335,backscatter_diff_336,backscatter_diff_337,backscatter_diff_338,backscatter_diff_339,backscatter_diff_340,backscatter_diff_341,backscatter_diff_342,backscatter_diff_343,backscatter_diff_344,backscatter_diff_345,backscatter_diff_346,backscatter_diff_347,backscatter_diff_348,backscatter_diff_349,backscatter_diff_350,backscatter_diff_351,backscatter_diff_352,backscatter_diff_353,backscatter_diff_354,backscatter_diff_355,backscatter_diff_356,backscatter_diff_357,backscatter_diff_358,backscatter_diff_359,backscatter_diff_360,backscatter_diff_361,backscatter_diff_362,backscatter_diff_363,backscatter_diff_364,backscatter_diff_365,label
CW2019_1967,0.307042887,0.307042887,0.292039058,0.293320854,0.293320854,0.293320854,0.328405869,0.328405869,0.319432862,0.318472376,0.318472376,0.318472376,0.31899444,0.31899444,0.306053143,0.303506613,0.303506613,0.303506613,0.295864531,0.295864531,0.307271092,0.30759099,0.30759099,0.30759099,0.306256969,0.306256969,0.302830609,0.3065779,0.3065779,0.3065779,0.310265289,0.310265289,0.316803409,0.322938155,0.31422433,0.31422433,0.316460659,0.316460659,0.331023187,0.326735146,0.326735146,0.326735146,0.322397784,0.322397784,0.321241381,0.312623889,0.320286087,0.320286087,0.325269859,0.325269859,0.313680332,0.326409476,0.326409476,0.326409476,0.322272473,0.322272473,0.324458548,0.333552059,0.33654794,0.33654794,0.330503549,0.330503549,0.34388245,0.330487528,0.330487528,0.330487528,0.343831057,0.343831057,0.343774336,0.342240981,0.342240981,0.342240981,0.343591848,0.343591848,0.330578592,0.339212712,0.339212712,0.339212712,0.33506703,0.33506703,0.338098906,0.340698336,0.340698336,0.340698336,0.331967297,0.331967297,0.342520501,0.335076422,0.335076422,0.335076422,0.318549195,0.318549195,0.312087109,0.303295467,0.303295467,0.303295467,0.304006341,0.304006341,0.296561947,0.30514862,0.30514862,0.30514862,0.309397946,0.309397946,0.304070583,0.307584379,0.307584379,0.307584379,0.304993508,0.304993508,0.309209102,0.30014615,0.309433223,0.309433223,0.315216158,0.315216158,0.322314477,0.325376342,0.325376342,0.325376342,0.23506978,0.23506978,0.248093271,0.26813204,0.251961436,0.251961436,0.257592935,0.257592935,0.28987205,0.32192397,0.32192397,0.32192397,0.388005966,0.388005966,0.420243528,0.42579259,0.42579259,0.42579259,0.337364835,0.337364835,0.331992377,0.303915953,0.303915953,0.303915953,0.257362169,0.257362169,0.269700445,0.305345864,0.305345864,0.305345864,0.302675402,0.302675402,0.277585424,0.170890823,0.170890823,0.170890823,0.194700332,0.194700332,0.327553962,0.50381539,0.50381539,0.50381539,0.781744931,0.781744931,0.781744931,1.209139212,1.209139212,1.209139212,1.15921988,1.15921988,1.0985056,0.99966869,0.99966869,0.99966869,0.719763791,0.719763791,0.737561014,0.484653484,0.484653484,0.484653484,0.24405035,0.24405035,0.079701734,-0.048779131,-0.048779131,-0.048779131,-0.515992633,-0.515992633,-1.175775843,-2.016355387,-2.016355387,-2.016355387,-2.502707056,-2.502707056,-3.374092605,-4.535060032,-4.535060032,-4.535060032,-5.00542656,-5.00542656,-5.283148797,-5.955117766,-5.955117766,-5.955117766,-6.791347918,-6.791347918,-6.945002607,-7.389959941,-7.389959941,-7.389959941,-8.297165527,-8.297165527,-9.083158469,-9.606487968,-9.606487968,-9.606487968,-9.507108041,-9.507108041,-10.37542408,-10.82403246,-10.82403246,-10.82403246,-10.58831261,-10.58831261,-10.84798011,-11.33697958,-11.33697958,-11.33697958,-11.47544482,-11.47544482,-11.77441995,-11.85856759,-11.85856759,-11.85856759,-11.87935887,-11.87935887,-11.87420099,-11.2344352,-11.2344352,-11.2344352,-10.92784141,-10.92784141,-9.489504056,-7.63394765,-7.63394765,-7.63394765,-6.038468821,-6.038468821,-4.302411232,-2.56593823,-2.56593823,-2.56593823,-1.270995597,-1.270995597,-0.635366331,-0.492340777,-0.492340777,-0.492340777,-0.483395159,-0.483395159,-0.398432191,-0.536176151,-0.536176151,-0.536176151,-0.4807893,-0.4807893,-0.437883055,-0.394948743,-0.394948743,-0.394948743,-0.365688484,-0.365688484,-0.433660457,-0.282004954,-0.282004954,-0.282004954,-0.287622212,-0.287622212,-0.291980083,-0.328859651,-0.328859651,-0.328859651,-0.383245854,-0.383245854,-0.386909842,-0.396805378,-0.396805378,-0.396805378,-0.428864305,-0.428864305,-0.44245758,-0.44195795,-0.44195795,-0.44195795,-0.366744456,-0.366744456,-0.377443501,-0.371080647,-0.371080647,-0.371080647,-0.354630649,-0.354630649,-0.355827083,-0.355638796,-0.355638796,-0.355638796,-0.353349796,-0.353349796,-0.368559031,-0.380142505,-0.380142505,-0.380142505,-0.397352708,-0.397352708,-0.418315427,-0.41900217,-0.41900217,-0.41900217,-0.450032663,-0.450032663,-0.443003427,-0.455290987,-0.455290987,-0.455290987,-0.443705863,-0.443705863,-0.438301844,-0.450655882,-0.450655882,-0.450655882,-0.446237794,-0.446237794,-0.465959393,-0.476265648,-0.476265648,-0.476265648,-0.48372639,-0.48372639,-0.474790299,-0.45677301,-0.45677301,-0.45677301,-0.439191453,-0.439191453,-0.433884661,-0.43027264,-0.43027264,-0.43027264,-0.411567729,-0.411567729,-0.409904195,-0.419340229,-0.419340229,-0.419340229,-0.413077264,-0.413077264,-0.400889257,-0.395739506,-0.395739506,-0.395739506,-0.476242878,-0.476242878,-0.436603479,-0.403783046,-0.403783046,refreeze
CW2019_1707,-0.449842954,-0.449842954,-0.365049179,-0.406486381,-0.406486381,-0.406486381,-0.443738619,-0.443738619,-0.452894531,-0.463394998,-0.463394998,-0.463394998,-0.442831682,-0.442831682,-0.449506852,-0.481890121,-0.481890121,-0.481890121,-0.497549513,-0.497549513,-0.484405607,-0.484417378,-0.484417378,-0.484417378,-0.498089058,-0.498089058,-0.489239146,-0.472065894,-0.472065894,-0.472065894,-0.451052527,-0.451052527,-0.478641568,-0.471477991,-0.442413266,-0.442413266,-0.429676971,-0.429676971,-0.4403814,-0.442915403,-0.442915403,-0.442915403,-0.449953944,-0.449953944,-0.431001855,-0.434193526,-0.436488365,-0.436488365,-0.452926447,-0.452926447,-0.447380789,-0.44444811,-0.44444811,-0.44444811,-0.446798099,-0.446798099,-0.45588751,-0.43910335,-0.464939109,-0.464939109,-0.461304867,-0.461304867,-0.450069974,-0.431561442,-0.431561442,-0.431561442,-0.430178824,-0.430178824,-0.43523754,-0.432030665,-0.432030665,-0.432030665,-0.431162532,-0.431162532,-0.429680815,-0.413743182,-0.413743182,-0.413743182,-0.417723112,-0.417723112,-0.426578972,-0.434038432,-0.434038432,-0.434038432,-0.451405335,-0.451405335,-0.462924187,-0.464725385,-0.438250373,-0.438250373,-0.441892406,-0.441892406,-0.431503853,-0.385003632,-0.385003632,-0.385003632,-0.371251344,-0.371251344,-0.370139066,-0.394700679,-0.400550106,-0.400550106,-0.375705292,-0.375705292,-0.363854888,-0.363122541,-0.363122541,-0.363122541,-0.366455641,-0.366455641,-0.364105855,-0.357844464,-0.34827154,-0.34827154,-0.375796454,-0.375796454,-0.394316396,-0.386499639,-0.386499639,-0.386499639,-0.438081264,-0.438081264,-0.534848985,-0.542454896,-0.571243062,-0.571243062,-0.538563641,-0.538563641,-0.561133391,-0.577842897,-0.577842897,-0.577842897,-0.616081512,-0.616081512,-0.568470296,-0.393058627,-0.382759567,-0.382759567,-0.335154242,-0.335154242,-0.399103732,-0.539249452,-0.539249452,-0.539249452,-0.454549001,-0.454549001,-0.661358277,-1.364078205,-1.364078205,-1.364078205,-1.725993011,-1.725993011,-1.933116059,-2.814491796,-2.814491796,-2.814491796,-4.324879869,-4.324879869,-5.54792458,-7.078684558,-7.078684558,-7.078684558,-9.225822323,-9.225822323,-9.225822323,-10.25855679,-10.25855679,-10.25855679,-8.743382905,-8.743382905,-7.267994497,-5.264135246,-5.264135246,-5.264135246,-2.936116098,-2.936116098,-2.433614999,-0.597003235,-0.597003235,-0.597003235,-0.679389529,-0.679389529,-0.576410309,-0.384075799,-0.384075799,-0.384075799,-0.33411374,-0.33411374,-0.39103504,-0.497434907,-0.497434907,-0.497434907,-0.472938432,-0.472938432,-0.606387325,-0.658290172,-0.658290172,-0.658290172,-0.626914885,-0.626914885,-0.672519844,-0.708574615,-0.708574615,-0.708574615,-0.708029818,-0.708029818,-0.729902067,-0.689206318,-0.689206318,-0.689206318,-0.706896911,-0.706896911,-0.763003998,-0.876796637,-0.876796637,-0.876796637,-0.932082372,-0.932082372,-0.95214967,-1.001629478,-1.001629478,-1.001629478,-1.061178869,-1.061178869,-1.107329405,-1.095815632,-1.095815632,-1.095815632,-1.105951635,-1.105951635,-1.073011528,-1.038182254,-1.038182254,-1.038182254,-0.970779779,-0.970779779,-0.853361957,-0.755463482,-0.755463482,-0.755463482,-0.71002642,-0.71002642,-0.720208242,-0.716377422,-0.716377422,-0.716377422,-0.71089632,-0.71089632,-0.716558895,-0.693322666,-0.693322666,-0.693322666,-0.638709506,-0.638709506,-0.586698111,-0.578069189,-0.578069189,-0.578069189,-0.565503458,-0.565503458,-0.578324729,-0.585693203,-0.585693203,-0.585693203,-0.586266886,-0.586266886,-0.566872497,-0.559091618,-0.559091618,-0.559091618,-0.533193271,-0.533193271,-0.491750518,-0.465509142,-0.465509142,-0.465509142,-0.451976796,-0.451976796,-0.419638703,-0.38347526,-0.38347526,-0.38347526,-0.303478635,-0.303478635,-0.308703005,-0.316831811,-0.316831811,-0.316831811,-0.327219067,-0.327219067,-0.350955082,-0.333993386,-0.333993386,-0.333993386,-0.413596786,-0.413596786,-0.39397022,-0.387831745,-0.387831745,-0.387831745,-0.385518739,-0.385518739,-0.391248622,-0.37641492,-0.37641492,-0.37641492,-0.406828039,-0.406828039,-0.39523136,-0.386626051,-0.386626051,-0.386626051,-0.401722587,-0.401722587,-0.388905758,-0.407058582,-0.407058582,-0.407058582,-0.404348384,-0.404348384,-0.410142582,-0.424845664,-0.424845664,-0.424845664,-0.4286675,-0.4286675,-0.438540523,-0.433823643,-0.433823643,-0.433823643,-0.435386845,-0.435386845,-0.443411908,-0.450152198,-0.450152198,-0.450152198,-0.443686186,-0.443686186,-0.453112233,-0.450787381,-0.450787381,-0.450787381,-0.434764704,-0.434764704,-0.427090307,-0.439377034,-0.439377034,-0.439377034,-0.432599241,-0.432599241,-0.408253138,-0.408753271,-0.408753271,-0.408753271,-0.41978143,-0.41978143,-0.428752679,-0.410195773,-0.410195773,-0.410195773,-0.308417829,-0.308417829,-0.348807022,-0.522512622,-0.522512622,drain
SW2019_223,2.00315951,2.00315951,2.00315951,1.943846952,1.943846952,1.943846952,1.972539339,1.972539339,1.972539339,1.965650936,1.965650936,1.965650936,1.945854,1.945854,1.945854,1.951291861,1.951291861,1.951291861,1.964562147,1.964562147,1.964562147,1.945517299,1.945517299,1.945517299,1.938694174,1.938694174,1.938694174,1.950949839,1.950949839,1.950949839,1.936659752,1.936659752,1.936659752,1.946421541,1.917251037,1.917251037,1.9100444,1.9100444,1.9100444,1.884658739,1.884658739,1.884658739,1.884836337,1.884836337,1.884836337,1.88284005,1.88157873,1.88157873,1.883174431,1.883174431,1.883174431,1.860796951,1.860796951,1.860796951,1.848672857,1.848672857,1.848672857,1.84452236,1.857087344,1.857087344,1.866508111,1.866508111,1.866508111,1.882239777,1.882239777,1.882239777,1.884659054,1.884659054,1.884659054,1.890295062,1.890295062,1.890295062,1.873904654,1.873904654,1.873904654,1.8538793,1.8538793,1.8538793,1.845684545,1.845684545,1.845684545,1.810908409,1.810908409,1.810908409,1.799378469,1.799378469,1.799378469,1.78744139,1.764091618,1.764091618,1.732060182,1.732060182,1.732060182,1.761195054,1.761195054,1.761195054,1.746202771,1.746202771,1.746202771,1.753400523,1.74969041,1.74969041,1.758775585,1.758775585,1.758775585,1.760022601,1.760022601,1.760022601,1.752778885,1.752778885,1.752778885,1.751993025,1.752384669,1.752384669,1.745606745,1.745606745,1.745606745,1.740506148,1.740506148,1.740506148,1.60476871,1.60476871,1.60476871,1.525857776,1.447814346,1.447814346,1.366333627,1.366333627,1.366333627,1.284007302,1.284007302,1.284007302,1.328160934,1.328160934,1.328160934,1.302352181,1.311969468,1.311969468,0.969446133,0.969446133,0.969446133,0.821608071,0.821608071,0.821608071,0.385551122,0.385551122,0.385551122,-0.053818353,-0.053818353,-0.053818353,-0.320507776,-0.320507776,-0.320507776,-0.739107523,-0.739107523,-0.739107523,-0.893081047,-0.893081047,-0.893081047,-1.059842265,-1.059842265,-1.059842265,-1.405454546,-1.405454546,-1.405454546,-1.60624326,-1.60624326,-1.60624326,-2.053913327,-2.053913327,-2.053913327,-2.492943092,-2.492943092,-2.492943092,-3.327404517,-3.327404517,-3.327404517,-3.70357909,-3.70357909,-3.70357909,-4.636942033,-4.636942033,-4.636942033,-4.497869548,-4.497869548,-4.497869548,-5.111867505,-5.111867505,-5.111867505,-5.523832323,-5.523832323,-5.523832323,-6.113975686,-6.113975686,-6.113975686,-7.066935486,-7.066935486,-7.066935486,-7.591451934,-7.591451934,-7.591451934,-8.29976085,-8.29976085,-8.29976085,-8.76060771,-8.76060771,-8.76060771,-8.753973724,-8.753973724,-8.753973724,-9.038566077,-9.038566077,-9.038566077,-9.187327907,-9.187327907,-9.187327907,-8.851665415,-8.851665415,-8.851665415,-8.910444404,-8.910444404,-8.910444404,-7.783623883,-7.783623883,-7.783623883,-7.096840912,-7.096840912,-7.096840912,-6.492920059,-6.492920059,-6.492920059,-6.282641597,-6.282641597,-6.282641597,-6.077597026,-6.077597026,-6.077597026,-6.097953335,-6.097953335,-6.097953335,-5.709679048,-5.709679048,-5.709679048,-5.552913571,-5.552913571,-5.552913571,-5.187171048,-5.187171048,-5.187171048,-5.018695502,-5.018695502,-5.018695502,-4.766651434,-4.766651434,-4.766651434,-4.660401062,-4.660401062,-4.660401062,-4.598625994,-4.598625994,-4.598625994,-4.479385497,-4.479385497,-4.479385497,-4.437212112,-4.437212112,-4.437212112,-4.358412151,-4.358412151,-4.358412151,-4.240000025,-4.240000025,-4.240000025,-4.127509159,-4.127509159,-4.127509159,-4.026728006,-4.026728006,-4.026728006,-3.956092984,-3.956092984,-3.956092984,-3.96721889,-3.96721889,-3.96721889,-3.799209301,-3.799209301,-3.799209301,-3.673870406,-3.673870406,-3.673870406,-3.472881649,-3.472881649,-3.472881649,-3.410189574,-3.410189574,-3.410189574,-3.307511659,-3.307511659,-3.307511659,-3.195066608,-3.195066608,-3.195066608,-3.137448686,-3.137448686,-3.137448686,-3.078029869,-3.078029869,-3.078029869,-3.015048901,-3.015048901,-3.015048901,-2.981846106,-2.981846106,-2.981846106,-2.904044455,-2.904044455,-2.904044455,-2.863422589,-2.863422589,-2.863422589,-2.819147738,-2.819147738,-2.819147738,-2.75128168,-2.75128168,-2.75128168,-2.718247958,-2.718247958,-2.718247958,-2.644279507,-2.644279507,-2.644279507,-2.612676097,-2.612676097,-2.612676097,-2.579749142,-2.579749142,-2.579749142,-2.533232024,-2.533232024,-2.533232024,-2.487197978,-2.487197978,-2.487197978,-2.435218137,-2.435218137,-2.435218137,-2.381411207,-2.381411207,-2.189837769,-2.12763184,-2.12763184,-2.144850533,-2.099851994,-2.099851994,-1.988349256,-1.947824477,-1.947824477,-1.947824477,-1.897913127,-1.897913127,-1.992786948,-1.921169143,-1.921169143,buried
